anime_id,Name
434,Legend of Lemnear: Kyokuguro no Tsubasa Valkisas
435,Magic Knight Rayearth
437,Perfect Blue
438,Phantom The Animation
439,RG Veda
440,Shoujo Kakumei Utena
441,Shoujo Kakumei Utena: Adolescence Mokushiroku
442,Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!
443,Onegai☆Teacher: Himitsu na Futari
444,Maria-sama ga Miteru: Haru
445,Tales of Eternia The Animation
446,Weiß Kreuz Glühen
447,Weiß Kreuz
448,Tenjou Tenge: The Ultimate Fight
449,InuYasha Movie 4: Guren no Houraijima
450,InuYasha Movie 2: Kagami no Naka no Mugenjo
451,InuYasha Movie 3: Tenka Hadou no Ken
452,InuYasha Movie 1: Toki wo Koeru Omoi
454,.hack//Gift
455,Fantastic Children
456,Gokujou Seitokai
457,Mushishi
458,Buttobi!! CPU
459,One Piece Movie 1
460,One Piece Movie 2: Nejimaki-jima no Daibouken
461,One Piece Movie 3: Chinjuu-jima no Chopper Oukoku
462,One Piece Movie 4: Dead End no Bouken
463,One Piece Movie 5: Norowareta Seiken
464,One Piece Movie 6: Omatsuri Danshaku to Himitsu no Shima
465,One Piece Movie 7: Karakuri-jou no Mecha Kyohei
466,One Piece: Taose! Kaizoku Ganzack
467,Koukaku Kidoutai: Stand Alone Complex
468,Innocence
469,Karin
470,Okusama wa Joshikousei (TV)
471,To Heart 2
472,To Heart
473,Tide-Line Blue
474,Macross Plus
475,Hotori: Tada Saiwai wo Koinegau
476,Ginban Kaleidoscope
477,Aria the Animation
478,Sousei no Aquarion
479,Ueki no Housoku
481,Yu☆Gi☆Oh! Duel Monsters
482,Yu☆Gi☆Oh!: Duel Monsters GX
483,Kurau Phantom Memory
484,Gensoumaden Saiyuuki Movie: Requiem - Erabarezaru Mono e no Chinkonka
485,Damekko Doubutsu
486,Kino no Tabi: The Beautiful World
487,Girls Bravo: Second Season
488,Ichigo Mashimaro
489,Kamichu!
490,Paniponi Dash!
492,Armitage III: Dual-Matrix
493,Armitage III: Poly-Matrix
495,Bakuretsu Hunters
496,Kamui no Ken
497,Yami to Boushi to Hon no Tabibito
498,Haja Taisei Dangaiou
499,Makai Toshi Shinjuku
501,Doraemon
502,Dragon Ball Movie 1: Shen Long no Densetsu
503,Eien no Aselia
504,Fatal Fury: The Motion Picture
505,Fushigiboshi no☆Futagohime
506,Glass no Kamen
507,Gravitation: Lyrics of Love
508,Tottoko Hamtarou
509,I My Me! Strawberry Eggs
510,Kakyuusei 2: Hitomi no Naka no Shoujo-tachi
511,Kidou Shinsengumi Moeyo Ken TV
512,Majo no Takkyuubin
513,Tenkuu no Shiro Laputa
514,Cossette no Shouzou
515,Hajimari no Boukensha-tachi: Legend of Crystania
516,Keroro Gunsou
517,School Rumble: Ichi Gakki Hoshuu
518,Mahou no Princess Minky Momo
519,Mahoraba: Heartful days
520,Marmalade Boy Movie
521,Mermaid Melody Pichi Pichi Pitch
522,Metropolis
523,Tonari no Totoro
524,Onegai☆Twins: Natsu wa Owaranai
525,Otogizoushi
526,Boku no Chikyuu wo Mamotte
527,Pokemon
528,Pokemon Movie 01: Mewtwo no Gyakushuu
529,Saishuu Heiki Kanojo
530,Bishoujo Senshi Sailor Moon
531,Bishoujo Senshi Sailor Moon R: The Movie
532,Bishoujo Senshi Sailor Moon S
533,Sensei no Ojikan: Doki Doki School Hours
534,Slayers
535,Slayers Next
536,Slayers: The Motion Picture
537,Tekken
538,Shin Tenchi Muyou!
539,Tenchi Muyou! Ryououki
540,Tenchi Muyou! Ryououki 2nd Season
541,Tenchi Muyou! Ryououki 3rd Season
543,Vampire Hunter D (2000)
544,Venus Senki
545,Mousou Kagaku Series: Wandaba Style
546,Wind: A Breath of Heart (TV)
547,Wind: A Breath of Heart OVA
548,Wonderful Days
550,Yu☆Gi☆Oh!
551,Grappler Baki: Saidai Tournament-hen
552,Digimon Adventure
553,Yami no Matsuei
554,Koutetsu Tenshi Kurumi
555,Koutetsu Tenshi Kurumi 2
556,Koutetsu Tenshi Kurumi Zero
557,Koutetsu Tenshi Kurumi Encore
558,Major S2
559,RahXephon: Kansoukyoku/Kanojo to Kanojo Jishin to - Thatness and Thereness
560,Soukyuu no Fafner: Right of Left - Single Program
561,Sakura Taisen
562,Sakura Taisen: Le Nouveau Paris
563,DNA²
564,Puni Puni☆Poemii
565,Steamboy
566,Tetsuwan Birdy
567,The Big O
568,Bubblegum Crisis Tokyo 2040
569,Musekinin Kanchou Tylor
570,Jin-Rou
571,Moldiver
572,Kaze no Tani no Nausicaä
573,Saber Marionette J
574,Rean no Tsubasa
576,Magikano
